方形标签叠放实验， 拟合出错误顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
0000 0004 0000 0000 0000 0000#1624777726041055#-55.5#0.6810874698212247#1
0000 0001 0000 0000 0000 0000#1624777726042823#-52.0#5.534602682691394#1
0000 0007 0000 0000 0000 0000#1624777726043925#-40.0#3.8410878928656453#1
0000 0003 0000 0000 0000 0000#1624777726045524#-56.5#5.45483568172134#1
0000 0002 0000 0000 0000 0000#1624777726047095#-49.0#5.019185137961818#1
E200 001B 2014 0200 1580 ACEC#1624777726049082#-67.0#4.632621979414636#1
3008 33B2 DDD9 0140 2018 0626#1624777726312640#-57.0#5.835262917116979#1
0000 0007 0000 0000 0000 0000#1624777726313741#-39.5#4.589670517353839#1
0000 0001 0000 0000 0000 0000#1624777726317123#-52.5#0.01227184630308513#1
E200 001B 2014 0200 1580 ACEC#1624777726318240#-66.5#5.2768939103266055#1
0000 0006 0000 0000 0000 0000#1624777726319849#-47.5#0.2699806186678728#1
0000 0003 0000 0000 0000 0000#1624777726321180#-59.5#6.1850105367549055#1
0000 0002 0000 0000 0000 0000#1624777726323262#-49.5#5.663457068873787#1
0000 0005 0000 0000 0000 0000#1624777726324333#-51.0#1.7855536370988863#1
E200 001B 2014 0164 1580 8A56#1624777726326056#-67.5#5.964117303299373#1
0000 0004 0000 0000 0000 0000#1624777726327111#-57.0#1.5278448647340985#1
4155 4F30 3030 3030 3131 3430#1624777726328647#-62.0#5.890486225480862#1
0000 0001 0000 0000 0000 0000#1624777726334854#-53.0#0.01227184630308513#1
E200 001B 2014 0200 1580 ACEC#1624777726336156#-69.0#5.602097837358362#1
0000 0002 0000 0000 0000 0000#1624777726338623#-50.0#5.663457068873787#1
0000 0006 0000 0000 0000 0000#1624777726339948#-47.5#0.2699806186678728#1
0000 0003 0000 0000 0000 0000#1624777726341503#-60.0#6.22182607566416#1
0000 0007 0000 0000 0000 0000#1624777726343632#-39.5#4.608078286808466#1
E200 001B 2014 0164 1580 8A56#1624777726344956#-69.0#5.884350302329319#1
4155 4F30 3030 3030 3131 3430#1624777726346050#-62.0#5.835262917116979#1
3008 33B2 DDD9 0140 2018 0626#1624777726347096#-57.0#5.798447378207723#1
0000 0005 0000 0000 0000 0000#1624777726350131#-51.0#1.7978254834019713#1
0000 0004 0000 0000 0000 0000#1624777726351231#-56.5#1.5585244804918115#1
0000 0001 0000 0000 0000 0000#1624777726613993#-52.5#5.93343768754166#1
0000 0003 0000 0000 0000 0000#1624777726615307#-58.5#5.872078456026235#1
0000 0004 0000 0000 0000 0000#1624777726617359#-56.0#1.1903690913992575#1
0000 0006 0000 0000 0000 0000#1624777726618655#-47.5#6.111379458936394#1
0000 0005 0000 0000 0000 0000#1624777726621328#-51.5#1.4910293258248433#1
0000 0002 0000 0000 0000 0000#1624777726632286#-49.0#5.062136600022616#1
0000 0007 0000 0000 0000 0000#1624777726634809#-40.0#4.01902966426038#1
E200 001B 2014 0200 1580 ACEC#1624777726637111#-67.0#4.638757902566179#1
E200 001B 2014 0195 1580 B13D#1624777726639558#-64.5#5.154175447295755#1
E200 001B 2014 0164 1580 8A56#1624777726642829#-66.0#5.019185137961818#1
E200 001B 2014 0195 1580 B13D#1624777726646022#-64.5#4.859651136021712#1
0000 0007 0000 0000 0000 0000#1624777726647106#-40.0#4.000621894805752#1
0000 0001 0000 0000 0000 0000#1624777726648433#-52.5#5.589825991055276#1
0000 0004 0000 0000 0000 0000#1624777726649973#-56.0#0.8160777791551611#1
0000 0006 0000 0000 0000 0000#1624777726652295#-46.5#5.700272607783043#1
0000 0002 0000 0000 0000 0000#1624777726653691#-49.0#5.0682725231741586#1
E200 001B 2014 0200 1580 ACEC#1624777726658700#-66.5#4.509903516383785#1
0000 0003 0000 0000 0000 0000#1624777726659843#-58.0#5.5284667595398505#1
0000 0005 0000 0000 0000 0000#1624777726661653#-50.5#1.1106020904292042#1
E200 001B 2014 0164 1580 8A56#1624777726666975#-66.0#5.037592907416445#1
E200 001B 2014 0200 1580 ACEC#1624777726930599#-67.5#5.424156065963627#1
0000 0004 0000 0000 0000 0000#1624777726932384#-56.5#1.423534171157875#1
0000 0001 0000 0000 0000 0000#1624777726933725#-53.5#6.117515382087937#1
0000 0003 0000 0000 0000 0000#1624777726935040#-59.5#6.019340611663256#1
0000 0007 0000 0000 0000 0000#1624777726937596#-39.0#4.4362724385652745#1
4155 4F30 3030 3030 3131 3430#1624777726939862#-61.5#5.853670686571607#1
0000 0005 0000 0000 0000 0000#1624777726941201#-51.0#1.6382914814618648#1
0000 0006 0000 0000 0000 0000#1624777726943748#-47.5#0.0674951546669682#1
3008 33B2 DDD9 0140 2018 0626#1624777726945065#-58.0#5.4671075280244255#1
0000 0002 0000 0000 0000 0000#1624777726946209#-50.5#5.546874528994478#1
E200 001B 2014 0164 1580 8A56#1624777726947729#-65.5#5.994796919057086#1
0000 0002 0000 0000 0000 0000#1624777726954209#-50.5#5.565282298449106#1
E200 001B 2014 0200 1580 ACEC#1624777726956677#-67.0#5.522330836388308#1
4155 4F30 3030 3030 3131 3430#1624777726957943#-61.5#5.816855147662351#1
0000 0005 0000 0000 0000 0000#1624777726959253#-51.0#1.6444274046134073#1
0000 0004 0000 0000 0000 0000#1624777726960324#-56.0#1.4173982480063325#1
0000 0007 0000 0000 0000 0000#1624777726962150#-39.0#4.430136515413731#1
0000 0006 0000 0000 0000 0000#1624777726963482#-47.5#0.05522330836388308#1
3008 33B2 DDD9 0140 2018 0626#1624777726966150#-58.5#5.448699758569798#1
0000 0001 0000 0000 0000 0000#1624777726967618#-53.0#6.154330920997192#1
0000 0003 0000 0000 0000 0000#1624777726968964#-59.5#6.074563920027139#1
E200 001B 2014 0164 1580 8A56#1624777726970427#-65.5#5.994796919057086#1
E200 001B 2014 0200 1580 ACEC#1624777727240799#-67.0#4.528311285838413#1
0000 0002 0000 0000 0000 0000#1624777727241943#-49.0#4.945554060143307#1
0000 0001 0000 0000 0000 0000#1624777727244353#-52.5#5.491651220630596#1
0000 0003 0000 0000 0000 0000#1624777727246494#-58.0#5.356660911296659#1
0000 0006 0000 0000 0000 0000#1624777727247590#-46.5#5.522330836388308#1
0000 0007 0000 0000 0000 0000#1624777727249690#-40.0#3.80427235395639#1
E200 001B 2014 0164 1580 8A56#1624777727252279#-67.5#4.669437518323892#1
0000 0005 0000 0000 0000 0000#1624777727254472#-50.5#0.9081166264282996#1
0000 0004 0000 0000 0000 0000#1624777727255670#-56.0#0.6565437772150544#1
0000 0007 0000 0000 0000 0000#1624777727261314#-40.0#3.8288160465625602#1
0000 0004 0000 0000 0000 0000#1624777727262613#-55.5#0.6135923151542565#1
0000 0006 0000 0000 0000 0000#1624777727264735#-46.5#5.546874528994478#1
0000 0003 0000 0000 0000 0000#1624777727267218#-58.0#5.411884219660542#1
0000 0002 0000 0000 0000 0000#1624777727268319#-49.0#4.921010367537137#1
0000 0005 0000 0000 0000 0000#1624777727269386#-51.0#0.9387962421860124#1
0000 0001 0000 0000 0000 0000#1624777727270897#-52.5#5.5100589900852235#1
E200 001B 2014 0200 1580 ACEC#1624777727274135#-67.5#4.516039439535327#1
E200 001B 2014 0164 1580 8A56#1624777727275231#-67.5#4.675573441475434#1
E200 001B 2014 0164 1580 8A56#1624777727541241#-69.0#5.921165841238575#1
0000 0007 0000 0000 0000 0000#1624777727542552#-39.0#4.571262747899211#1
0000 0001 0000 0000 0000 0000#1624777727543610#-53.0#0.05522330836388308#1
3008 33B2 DDD9 0140 2018 0626#1624777727546306#-59.0#5.749359992995383#1
E200 001B 2014 0200 1580 ACEC#1624777727549454#-68.5#5.442563835418255#1
0000 0006 0000 0000 0000 0000#1624777727553018#-47.0#0.28225246497095796#1
0000 0005 0000 0000 0000 0000#1624777727554273#-51.0#1.859184714917397#1
0000 0004 0000 0000 0000 0000#1624777727557226#-56.5#1.5830681730979816#1
0000 0003 0000 0000 0000 0000#1624777727558724#-60.5#0.01227184630308513#1
