方形标签叠放实验， 拟合出正确顺序
speed   : 2
epc_type: 0
epc     : 0001 - 0007
order   : 0001 - 0007
0000 0007 0000 0000 0000 0000#1624774541181530#-40.0#2.172116795646068#1
0000 0004 0000 0000 0000 0000#1624774541183114#-42.0#1.1903690913992575#1
E200 001B 2014 0164 1580 8A56#1624774541185037#-70.0#4.878058905476339#1
0000 0005 0000 0000 0000 0000#1624774541186442#-46.0#2.761165418194154#1
9999 33B2 DDD9 0140 0000 0000#1624774541192822#-62.0#2.2396119503130363#1
0000 0001 0000 0000 0000 0000#1624774541193922#-64.5#5.393476450205914#1
E200 001B 2014 0164 1580 8A56#1624774541198338#-70.5#5.006913291658733#1
0000 0001 0000 0000 0000 0000#1624774541199834#-64.0#5.497787143782138#1
0000 0007 0000 0000 0000 0000#1624774541201117#-40.0#2.172116795646068#1
0000 0002 0000 0000 0000 0000#1624774541202208#-54.5#5.829126993965437#1
0000 0004 0000 0000 0000 0000#1624774541203518#-42.0#1.1965050145508#1
9999 33B2 DDD9 0140 0000 0000#1624774541204844#-62.0#2.2027964114037806#1
0000 0003 0000 0000 0000 0000#1624774541207761#-49.5#0.6565437772150544#1
0000 0006 0000 0000 0000 0000#1624774541209128#-46.0#6.277049384028044#1
0000 0005 0000 0000 0000 0000#1624774541210182#-45.5#2.791845033951867#1
3008 33B2 DDD9 0140 2018 0626#1624774541474755#-58.0#0.859029241215959#1
0000 0002 0000 0000 0000 0000#1624774541475857#-54.5#0.619728238305799#1
3008 33B2 DDD9 0140 2018 0626#1624774541480379#-57.0#0.04908738521234052#1
0000 0006 0000 0000 0000 0000#1624774541481461#-45.5#0.803805932852076#1
0000 0007 0000 0000 0000 0000#1624774541482545#-39.0#2.5586799541932495#1
0000 0004 0000 0000 0000 0000#1624774541483616#-41.5#1.9880391010997909#1
0000 0005 0000 0000 0000 0000#1624774541484942#-45.5#3.5342917352885173#1
E200 001B 2014 0164 1580 8A56#1624774541486138#-70.0#5.301437602932776#1
0000 0003 0000 0000 0000 0000#1624774541487192#-48.5#1.5830681730979816#1
9999 33B2 DDD9 0140 0000 0000#1624774541489017#-62.0#2.9759227284981438#1
0000 0001 0000 0000 0000 0000#1624774541491301#-64.5#0.0674951546669682#1
0000 0002 0000 0000 0000 0000#1624774541494883#-54.5#0.6933593161243098#1
0000 0007 0000 0000 0000 0000#1624774541495999#-39.0#2.5832236467994196#1
0000 0001 0000 0000 0000 0000#1624774541498084#-64.0#0.23316507975861744#1
0000 0003 0000 0000 0000 0000#1624774541499167#-48.5#1.6137477888556946#1
3008 33B2 DDD9 0140 2018 0626#1624774541500998#-57.5#0.04908738521234052#1
0000 0004 0000 0000 0000 0000#1624774541502109#-41.5#2.030990563160589#1
9999 33B2 DDD9 0140 0000 0000#1624774541504365#-61.5#2.84706834231575#1
0000 0005 0000 0000 0000 0000#1624774541506185#-45.5#3.5833791205008576#1
0000 0006 0000 0000 0000 0000#1624774541507739#-45.0#0.8283496254582462#1
E200 001B 2014 0164 1580 8A56#1624774541510588#-69.5#5.332117218690489#1
3008 33B2 DDD9 0140 2018 0626#1624774541512512#-58.0#0.859029241215959#1
0000 0002 0000 0000 0000 0000#1624774541779274#-53.0#0.4908738521234052#1
0000 0005 0000 0000 0000 0000#1624774541780343#-46.0#3.2029518851052186#1
0000 0006 0000 0000 0000 0000#1624774541781425#-47.0#6.17273869045182#1
0000 0003 0000 0000 0000 0000#1624774541782539#-46.5#1.2210487071569704#1
E200 001B 2014 0164 1580 8A56#1624774541784120#-69.0#4.614214209960009#1
0000 0004 0000 0000 0000 0000#1624774541785172#-42.5#1.5585244804918115#1
0000 0007 0000 0000 0000 0000#1624774541787212#-40.0#1.9205439464328227#1
0000 0001 0000 0000 0000 0000#1624774541788672#-62.5#0.23316507975861744#1
9999 33B2 DDD9 0140 0000 0000#1624774541791713#-62.0#1.88986433067511#1
9999 33B2 DDD9 0140 0000 0000#1624774541795427#-62.5#1.9266798695843652#1
0000 0003 0000 0000 0000 0000#1624774541796497#-46.5#1.2762720155208536#1
0000 0005 0000 0000 0000 0000#1624774541797821#-46.0#3.2029518851052186#1
0000 0002 0000 0000 0000 0000#1624774541801012#-53.0#0.5522330836388308#1
0000 0007 0000 0000 0000 0000#1624774541802955#-39.5#1.9205439464328227#1
E200 001B 2014 0164 1580 8A56#1624774541804894#-70.5#4.313553975534423#1
0000 0006 0000 0000 0000 0000#1624774541805946#-47.0#6.17273869045182#1
0000 0004 0000 0000 0000 0000#1624774541807014#-42.0#1.576932249946439#1
0000 0001 0000 0000 0000 0000#1624774541808471#-62.5#0.2638446955163303#1
0000 0002 0000 0000 0000 0000#1624774542070750#-51.5#1.705786636128833#1
E200 001B 2014 0164 1580 8A56#1624774542071789#-70.5#5.681864838328415#1
0000 0004 0000 0000 0000 0000#1624774542074509#-42.0#2.5464081078901644#1
0000 0006 0000 0000 0000 0000#1624774542076034#-46.0#0.9878836273983529#1
0000 0005 0000 0000 0000 0000#1624774542077131#-46.5#4.111068511533518#1
9999 33B2 DDD9 0140 0000 0000#1624774542078206#-62.0#3.32567034813607#1
3008 33B2 DDD9 0140 2018 0626#1624774542079332#-57.5#1.086058397823034#1
0000 0003 0000 0000 0000 0000#1624774542080705#-46.0#2.356194490192345#1
0000 0007 0000 0000 0000 0000#1624774542082314#-39.5#2.466641106920111#1
3008 33B2 DDD9 0140 2018 0626#1624774542085826#-56.5#0.36815538909255385#1
0000 0001 0000 0000 0000 0000#1624774542086885#-61.5#1.564660403643354#1
0000 0007 0000 0000 0000 0000#1624774542090754#-39.5#2.454369260617026#1
0000 0004 0000 0000 0000 0000#1624774542092564#-42.0#2.552544031041707#1
0000 0002 0000 0000 0000 0000#1624774542094534#-51.5#1.7426021750380885#1
E200 001B 2014 0164 1580 8A56#1624774542095676#-69.5#5.780039608753096#1
0000 0005 0000 0000 0000 0000#1624774542096999#-46.5#4.135612204139688#1
9999 33B2 DDD9 0140 0000 0000#1624774542098313#-62.0#3.3011266555298997#1
0000 0001 0000 0000 0000 0000#1624774542100353#-61.5#1.564660403643354#1
