长条形标签叠放实验， 拟合出正确顺序
peed   : 2
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
0000 0011 2000 0000 0000 0000#1624798116344754#-61.5#2.804116880254952#1
0000 0010 2000 0000 0000 0000#1624798116345924#-55.5#5.148039524144211#1
0000 0015 2000 0000 0000 0000#1624798116348200#-62.5#4.841243366567084#1
0000 0014 2000 0000 0000 0000#1624798116352135#-51.0#5.252350217720435#1
0000 0010 2000 0000 0000 0000#1624798116354091#-56.5#5.092816215780329#1
3008 33B2 DDD9 0140 2018 0626#1624798116356044#-55.0#5.798447378207723#1
3008 33B2 DDD9 0140 2018 0626#1624798116357104#-57.0#5.2339424482658075#1
0000 000F 2000 0000 0000 0000#1624798116358195#-53.5#0.25157284921324513#1
0000 0013 2000 0000 0000 0000#1624798116359474#-52.0#5.485515297479052#1
0000 0011 2000 0000 0000 0000#1624798116360626#-60.5#2.859340188618835#1
0000 0012 2000 0000 0000 0000#1624798116362808#-59.0#0.4479223900626072#1
0000 0015 2000 0000 0000 0000#1624798116363884#-62.0#4.828971520263998#1
E200 001B 2014 0201 1580 B140#1624798116365330#-62.5#4.816699673960914#1
0000 0014 2000 0000 0000 0000#1624798116627332#-51.5#4.841243366567084#1
3008 33B2 DDD9 0140 2018 0626#1624798116629514#-56.5#5.368932757599744#1
0000 000F 2000 0000 0000 0000#1624798116630974#-55.0#6.258641614573416#1
E200 001B 2014 0201 1580 B140#1624798116632035#-62.0#4.368777283898306#1
0000 0010 2000 0000 0000 0000#1624798116633562#-58.0#4.822835597112456#1
0000 0013 2000 0000 0000 0000#1624798116635606#-51.5#5.037592907416445#1
0000 0015 2000 0000 0000 0000#1624798116636672#-62.5#4.387185053352934#1
0000 0012 2000 0000 0000 0000#1624798116639346#-59.5#6.234097921967246#1
0000 0011 2000 0000 0000 0000#1624798116641915#-63.0#2.411417798556228#1
0000 000F 2000 0000 0000 0000#1624798116646049#-54.5#6.19728238305799#1
0000 0015 2000 0000 0000 0000#1624798116647126#-63.0#4.2092432819582#1
E200 001B 2014 0201 1580 B140#1624798116648459#-62.0#4.417864669110647#1
0000 0014 2000 0000 0000 0000#1624798116649511#-51.5#4.7860200582032#1
0000 0013 2000 0000 0000 0000#1624798116651076#-51.0#4.97623367590102#1
3008 33B2 DDD9 0140 2018 0626#1624798116654736#-55.5#5.332117218690489#1
0000 0010 2000 0000 0000 0000#1624798116657213#-56.0#4.804427827657828#1
0000 0011 2000 0000 0000 0000#1624798116658618#-62.0#2.429825568010856#1
0000 0012 2000 0000 0000 0000#1624798116659932#-59.5#6.240233845118788#1
0000 0012 2000 0000 0000 0000#1624798116923018#-59.0#0.3620194659410113#1
0000 0013 2000 0000 0000 0000#1624798116925078#-51.0#5.448699758569798#1
0000 000F 2000 0000 0000 0000#1624798116928066#-53.5#0.2699806186678728#1
0000 0010 2000 0000 0000 0000#1624798116929123#-56.5#5.21553467881118#1
0000 0014 2000 0000 0000 0000#1624798116930418#-50.5#5.197126909356553#1
0000 0011 2000 0000 0000 0000#1624798116931531#-60.5#3.0066023442558567#1
0000 0015 2000 0000 0000 0000#1624798116932608#-61.5#4.700117134081604#1
3008 33B2 DDD9 0140 2018 0626#1624798116934310#-57.5#5.246214294568893#1
3008 33B2 DDD9 0140 2018 0626#1624798116935391#-55.5#6.050020227420969#1
0000 0011 2000 0000 0000 0000#1624798116940480#-62.0#3.0250101137104846#1
0000 0013 2000 0000 0000 0000#1624798116942142#-51.0#5.4671075280244255#1
0000 000F 2000 0000 0000 0000#1624798116944317#-53.5#0.30066023442558565#1
0000 0014 2000 0000 0000 0000#1624798116945654#-51.0#5.227806525114265#1
3008 33B2 DDD9 0140 2018 0626#1624798116946708#-55.5#6.019340611663256#1
0000 0010 2000 0000 0000 0000#1624798116947737#-56.5#5.166447293598839#1
0000 0012 2000 0000 0000 0000#1624798116958841#-60.0#0.11658253987930872#1
0000 0015 2000 0000 0000 0000#1624798116959918#-61.5#4.442408361716817#1
0000 0012 2000 0000 0000 0000#1624798117226762#-60.5#0.09817477042468103#1
0000 0011 2000 0000 0000 0000#1624798117227808#-61.5#2.60776733940559#1
0000 000F 2000 0000 0000 0000#1624798117229126#-52.0#5.878214379177777#1
0000 0014 2000 0000 0000 0000#1624798117230162#-53.0#4.706253057233147#1
0000 0013 2000 0000 0000 0000#1624798117234897#-53.0#5.019185137961818#1
