长条形标签叠放实验， 拟合出正确顺序
speed   : 2.5
epc_type: 2
epc     : 000f - 0015
order   : 000f - 0015
0000 0011 2000 0000 0000 0000#1624798412649071#-57.5#1.9696313316451632#1
0000 000F 2000 0000 0000 0000#1624798412650770#-48.5#4.988505522204105#1
3008 33B2 DDD9 0140 2018 0626#1624798412652060#-56.5#3.442252888015379#1
0000 0012 2000 0000 0000 0000#1624798412915040#-57.0#5.595961914206819#1
0000 000F 2000 0000 0000 0000#1624798412916629#-49.0#4.589670517353839#1
0000 0011 2000 0000 0000 0000#1624798412917755#-56.5#1.7855536370988863#1
0000 0010 2000 0000 0000 0000#1624798412920580#-50.5#3.552699504743145#1
0000 0014 2000 0000 0000 0000#1624798412924820#-46.0#3.8410878928656453#1
0000 0013 2000 0000 0000 0000#1624798412927709#-50.0#4.276738436625168#1
E200 001B 2014 0164 1580 8A56#1624798412928860#-63.5#5.381204603902829#1
3008 33B2 DDD9 0140 2018 0626#1624798412929966#-57.0#2.8716120349219203#1
0000 0015 2000 0000 0000 0000#1624798412931173#-56.5#3.3624858870453256#1
E200 001B 2014 0201 1580 B140#1624798412933099#-64.0#1.718058482431918#1
E200 001B 2014 0201 1580 B140#1624798412939520#-62.5#1.6014759425526093#1
0000 0013 2000 0000 0000 0000#1624798412941966#-50.0#4.264466590322082#1
0000 0011 2000 0000 0000 0000#1624798412943150#-56.0#1.6935147898257479#1
3008 33B2 DDD9 0140 2018 0626#1624798412944479#-57.5#2.84706834231575#1
0000 0014 2000 0000 0000 0000#1624798412946923#-46.0#3.8533597391687304#1
0000 000F 2000 0000 0000 0000#1624798412948199#-48.5#4.620350133111551#1
E200 001B 2014 0164 1580 8A56#1624798412949253#-64.0#5.387340527054372#1
0000 0010 2000 0000 0000 0000#1624798412950365#-50.5#3.54042765844006#1
0000 0015 2000 0000 0000 0000#1624798412951386#-56.5#3.3195344249845276#1
0000 0012 2000 0000 0000 0000#1624798412953917#-56.5#5.4671075280244255#1
3008 33B2 DDD9 0140 2018 0626#1624798413215636#-57.5#5.074408446325701#1
0000 000F 2000 0000 0000 0000#1624798413224768#-48.5#5.160311370447297#1
0000 0012 2000 0000 0000 0000#1624798413226968#-55.5#5.994796919057086#1
0000 0010 2000 0000 0000 0000#1624798413228224#-52.5#4.0128937411088375#1
E200 001B 2014 0201 1580 B140#1624798413229312#-64.5#2.5034566458293663#1
0000 0013 2000 0000 0000 0000#1624798413230438#-49.5#4.804427827657828#1
0000 0014 2000 0000 0000 0000#1624798413232895#-45.0#4.387185053352934#1
E200 001B 2014 0200 1580 ACEC#1624798413234198#-69.5#4.01902966426038#1
0000 0015 2000 0000 0000 0000#1624798413237958#-56.5#3.9085830475326135#1
3008 33B2 DDD9 0140 2018 0626#1624798413239034#-56.0#3.5342917352885173#1
0000 0011 2000 0000 0000 0000#1624798413240476#-57.5#2.055534255766759#1
E200 001B 2014 0164 1580 8A56#1624798413241644#-63.5#6.12365130523948#1
E200 001B 2014 0200 1580 ACEC#1624798413247154#-69.5#4.0558452031696355#1
3008 33B2 DDD9 0140 2018 0626#1624798413248214#-56.5#3.6140587362585705#1
0000 0010 2000 0000 0000 0000#1624798413250482#-52.5#4.000621894805752#1
0000 0015 2000 0000 0000 0000#1624798413251774#-56.0#3.9147189706841563#1
0000 0013 2000 0000 0000 0000#1624798413253325#-50.0#4.81056375080937#1
0000 0014 2000 0000 0000 0000#1624798413254377#-45.0#4.387185053352934#1
0000 000F 2000 0000 0000 0000#1624798413255413#-48.5#5.135767677841127#1
0000 0012 2000 0000 0000 0000#1624798413256459#-55.5#6.013204688511713#1
E200 001B 2014 0201 1580 B140#1624798413257963#-63.5#2.5464081078901644#1
